english,hebrew
Article,מאמר
Care,להיות אכפת
Defend,להגן
Duty,תפקיד חובה
Elevator,מעלית
Excitement,התרגשות
Favor,טובה
Find (it) (funny),לחשוב שזה מצחיק
For instance,לדוגמה
Happiness,שמחה
Hit,להיט
Importance,חשיבות
Jar,צנצנת
Joke,בדיחה
Nowadays,בימינו
Pop,פופ
Result in,להיגמר ב־ / ש־תוצאתו
Selfie,סלפי
So that,כך ש…
Stranger,זר
As if,כאילו ש־
Attempt,לנסות
Borrow,לקחת בהשאלה
Deny,להכחיש
Elementary,יסודי בסיסי
Every single,כל אחד ואחד
Forgive,לסלוח
Give (someone) a call,להתקשר למישהו
Hardly,בקושי
Mean,זדוני מרושע
Ancient,עתיק
Attach,לחבר לצרף
Based on,מבוסס על
Bring (someone) luck,להביא למישהו מזל
Colleague,קולגה עמית
Consider (to be),להחשיב את כ־
Dive,לצלול
Gather,לאסוף
Laugh at,לצחוק על
Midday,צהריים
Play a trick on,לעשות תעלול ל־
See,להבין
Sense of humor,חוש הומור
The public,הציבור
The same thing,אותו הדבר
Arrange,לארגן
Attitude,גישה
Be expecting (someone),לצפות למישהו
Certain,מסוים
Complex,מורכב מסובך
Crucial,הכרחי
Culture,תרבות
Gas,דלק
In other words,במילים אחרות
Just,פשוט רק
Lay the table,לערוך את השולחן
Noticeboard,לוח מודעות
Pass through,לחלוף דרך
Phrase,ביטוי
Relatively,די יחסית
To be honest,למען האמת
Understanding,הבנה
At all,בכלל
Board,לעלות על כלי תחבורה
Eventually,בסופו של דבר
Excuse,תירוץ
Experience,חוויה
Knock,לדפוק
Later,אחר כך
Rather,די במידת מה
Route,מסלול נתיב
The press,העיתונות
Advantage,יתרון
Disadvantage,חיסרון
Express,לבטא להביע
In detail,באופן מפורט
In fact,למעשה
Notes,סיכומים רשימות הערות
Opinion,דעה
Speaker,דובר נואם
Speech,נאום דיבור
Support,לתמוך תמיכה
Topic,נושא
